암호화요양기호,요양기관명,위치_공공건물(장소)명,위치_방향,위치_거리,주차_가능대수,주차_비용 부담여부,주차_기타 안내사항,휴진안내_일요일,휴진안내_공휴일,응급실_주간_운영여부,응급실_주간_전화번호1,응급실_주간_전화번호2,응급실_야간_운영여부,응급실_야간_전화번호1,응급실_야간_전화번호2,점심시간_평일,점심시간_토요일,접수시간_평일,접수시간_토요일,SunStart,SunEnd,MonStart,MonEnd,TuesStart,TuesEnd,WedStart,WedEnd,ThursStart,ThursEnd,FriStart,FriEnd,SatStart,SatEnd
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMTkxIzUxIyQxIyQxIyQ2MiQ0NjE0ODEjNTEjJDEjJDIjJDgz,상아약국,좌천4동새마을금고,바로옆,1m,,,,오후1시까지근무,오후5시까지근무,N,,,N,,,,,,,,,,,,,,,,,,,,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMTkxIzUxIyQxIyQxIyQ2MiQzNjE4MzIjNjEjJDEjJDAjJDgz,하나약국,굿팀메디칼센타1층,해운대방향,,,,,휴무,휴무,N,,,N,,,공란,공란,09시~19시,09시~5시,,,0900,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1700
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMTkxIzUxIyQxIyQxIyQwMyQzNjE4MzIjNTEjJDEjJDYjJDgz,중앙약국,,다해시영 아파트방향,,,,이면도로임,전부휴진,오후6시까지,N,,,N,,,오후1시부터 2시까지,오후1시부터 2시까지,,,,,0900,2000,0900,2000,0900,2000,0900,2000,0900,2000,0900,1800
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMTkxIzUxIyQyIyQ1IyQwMCQzNjEwMDIjNzEjJDEjJDgjJDgz,이팜약국,사상 이팜약국,사상구 괘법동 이마트 2층,,0,N,이마트 주차장,,,N,,,N,,,,,,,0930,2400,0930,2400,0930,2400,0930,2400,0930,2400,0930,2400,0930,2400
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMzUxIzExIyQxIyQ3IyQwMyQ0NjE0ODEjNjEjJDEjJDgjJDgz,부평약국,부평맨션,보수사거리 방향,20M,,,,휴진,09:00 ~ 19:00,N,,,N,,,,,,,,,,,,,,,,,,,,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjEyMjIjNjEjJDEjJDQjJDgz,미보약국,국민은행,국민은행에서 남포동쪽으로..,,,,,전부휴진,전부휴진,N,,,N,,,,,,,,,0900,2000,0900,2000,0900,2000,0900,2000,0900,2000,0900,1800
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMzUxIzExIyQxIyQzIyQ4MiQyNjEyMjIjNjEjJDEjJDgjJDgz,한마음약국,윤현기정형외과 1층,,,5,Y,,휴무,,N,,,N,,,,,,,,,,,,,,,,,,,,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMzUxIzIxIyQxIyQ1IyQ3OSQzNjE4MzIjNTEjJDEjJDIjJDgz,경동약국,경동코아빌딩,,,30,N,,,,N,,,N,,,13시00분~14시00분,13시00분~14시00분,09시00분 ~19시00분,09시00분~16시00분,,,0900,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1600
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMzUxIzIxIyQxIyQ1IyQwMyQzNjEwMDIjNjEjJDEjJDAjJDgz,제일약국,,,,10,N,약국이용시 무료임,둘째주 일요일을 제외한 일요일,,N,,,N,,,,,,,1000,2200,0900,2230,0900,2230,0900,2230,0900,2230,0900,2230,0900,2230
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMzUxIzIxIyQxIyQ5IyQ3MiQyNjE0ODEjODEjJDEjJDIjJDgz,동화약국,지하철 광안역 3번출구앞,,,50,N,SK뷰 아파트 상가주차장(주차권필수),,,N,,,N,,,,,,,,,0830,2000,0830,2000,0830,2000,0830,2000,0830,2000,0830,1730
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMzUxIzIxIyQxIyQ5IyQ3MiQzNjE4MzIjNjEjJDEjJDQjJDgz,늘푸른약국,영도병원,영도병원정문에서 오른쪽,50m,,,,,,N,,,N,,,,,09:00~18:50,09:00~16:00,,,,,,,,,,,,,,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMzUxIzIxIyQxIyQ5IyQ4MiQzNjE4MzIjNTEjJDEjJDIjJDgz,미소약국,부산정형외과건물,,,,,,,,N,,,N,,,,,,,,,0800,1900,0800,1900,0800,1900,0800,1900,0800,1900,0800,1400
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMzUxIzIxIyQxIyQ5IyQ4OSQ0NjE0ODEjNjEjJDEjJDAjJDgz,사상오체사성당약국,용당동 세관,정문에서 좌측,50m,10,N,방문환자 및 가족 무료,전부 휴진,9시~5시근무,N,,,N,,,,,9시~7시,9시~5시,,,,,,,,,,,,,,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMzUxIzIxIyQxIyQ5IyQ5MiQyNjE4MzIjNzEjJDEjJDgjJDgz,온누리본초약국,,,,,,,,오후8시이후,N,,,N,,,,,9시00분~21시50분,9시00분~21시00분,,,0900,2150,0900,2150,0900,2150,0900,2150,0900,2150,0900,2100
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMzUxIzIxIyQxIyQ5IyQ5OSQyNjE0ODEjNjEjJDEjJDgjJDgz,목동약국,수영동사무소,맞은편,5M,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMzUxIzIxIyQxIyQxIyQ5OSQyNjE0ODEjNTEjJDEjJDYjJDgz,신주례약국,신주례엘지아파트 1단지 상,,,100,N,,전부 휴진,오전9시~오후1시,N,,,N,,,오후 1시 ~ 오후 2시,오후 1시 ~ 오후 2시,,,,,0900,2000,0900,2000,0900,2000,0900,2000,0900,2000,0900,1800
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMzUxIzIxIyQyIyQ1IyQwMCQyNjE0ODEjNzEjJDEjJDgjJDgz,덕성약국,광안리해수욕장칠성횟집뒤편,북쪽,,,,,전부휴일,,N,,,N,,,,,9;00-20.30,,,,,,,,,,,,,,,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMzUxIzMxIyQxIyQ3IyQ3MiQzNjEyMjIjNDEjJDEjJDQjJDgz,수성약국,강서구청정문,좌측,15m,15,N,,휴무,휴무,N,,,N,,,12시00분~13시00분,,09시00분~18시00분,09시00분~13시00분,,,0900,1800,0900,1800,0900,1800,0900,1800,0900,1800,0900,1300
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMzUxIzMxIyQxIyQzIyQ5OSQyNjEwMDIjNDEjJDEjJDgjJDgz,조약국,장선복지원,덕천교차로방향,500m,,,,전부휴무,근무시간 10시00분~22시00분,N,,,N,,,,,10시00분~22시00분,10시00분~22시00분,,,1000,2200,1000,2200,1000,2200,1000,2200,1000,2200,1000,2200
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMzUxIzMxIyQyIyQzIyQwMCQ0NjE0ODEjNjEjJDEjJDQjJDgz,한일약국,,,,,,,,,N,,,N,,,,,,,,,0900,2000,0900,2000,0900,2000,0900,2000,0900,2000,0900,1800
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMzUxIzQxIyQxIyQ3IyQ2MiQzNjE0ODEjNTEjJDEjJDIjJDgz,만수약국,,,,,,,,,N,,,N,,,,,,,,,0900,2100,0900,2100,0900,2100,0900,2100,0900,2100,0900,2000
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMzUxIzQxIyQxIyQ3IyQxMyQyNjEyMjIjNTEjJDEjJDIjJDgz,일선약국,"구서2동 신동아아파트,새마을금고 사거리에 위치",선경3차아파트 정문 밑 도로변,,,,,,,N,,,N,,,,,,,1800,2130,0830,2130,0830,2130,0830,2130,0830,2130,0830,2130,0830,2130
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMzUxIzQxIyQyIyQ3IyQwMCQyNjEyMjIjODEjJDEjJDYjJDgz,단성약국,부산대학병원,부산대학병원에서 아미파출소 쪽으로,300메타,,,,"둘째, 셋째 일요일 휴무",정상영업,N,,,N,,,,,,,0830,1300,0830,1900,0830,1900,0830,1900,0830,1900,0830,1900,0830,1800
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMzUxIzUxIyQxIyQ1IyQ3OSQ0NjEwMDIjNzEjJDEjJDgjJDgz,광장약국,장림동 국민은행,왼쪽으로,5m,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMzUxIzUxIyQxIyQ1IyQ5MiQzNjEwMDIjNjEjJDEjJDQjJDgz,서면금약국,,,,,,,,,N,,,N,,,,,,,,,0900,2000,0900,2000,0900,2000,0900,2000,0900,2000,0900,1800
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMzUxIzUxIyQxIyQxIyQ3MiQyNjEwMDIjNDEjJDEjJDgjJDgz,이소약국,부곡시장 김밥나라 옆 파리바게트 맞은편,부곡시장사거리,부곡시장사거리,,,,,,N,,,N,,,13시00분~14시00분,13시00분~14시00분,,,,,0900,2200,0900,2200,0900,2200,0900,2200,0900,2200,0900,1900
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMzUxIzUxIyQxIyQxIyQ5MiQyNjEyMjIjNjEjJDEjJDAjJDgz,국일약국,,,,,,,,,N,,,N,,,,,,,,,0900,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1300
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMzUxIzUxIyQxIyQxIyQwMyQzNjE0ODEjODEjJDEjJDIjJDgz,대우약국,신한은행맞은편기아자동차,지하철역방향으로,50미터,,,,첫째일요일외 휴무,,N,,,N,,,,,,,1000,2100,0900,2200,0900,2200,0900,2200,0900,2200,0900,2200,0900,2100
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMzUxIzUxIyQyIyQxIyQwMCQ0NjE0ODEjNjEjJDEjJDAjJDgz,성경약국,금사동 누가정형외과,누가정형외과 정문에서 좌측,10 m,,,,휴무,,N,,,N,,,,,,,,,,,,,,,,,,,,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxMzUxIzUxIyQyIyQxIyQwMCQzNjE4MzIjNjEjJDEjJDgjJDgz,진성약국,홀마트,앞,,,,,휴무,휴무,N,,,N,,,,,,,,,0900,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1700
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxNzAyIzExIyQxIyQ3IyQ3MiQyNjE4MzIjNDEjJDEjJDQjJDgz,훈스약국,수영교차로,4번출구,120미터,,,,전부 휴무,전부 휴무,N,,,N,,,13시00분~14시00분,,09시00분~19시00분,08시30분~14시00분,,,0900,1900,0900,1900,0900,1900,0900,1900,0900,1900,0830,1400
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxNzAyIzExIyQxIyQ3IyQ3OSQyNjE4MzIjNTEjJDEjJDYjJDgz,양정24시약국,부산은행(양정동지점),바로옆,,,,,,,N,,,N,,,,,,,0900,2000,0830,2100,0830,2100,0830,2100,0830,2100,0830,2100,0830,2100
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxNzAyIzExIyQxIyQ3IyQ4MiQyNjEwMDIjNDEjJDEjJDgjJDgz,건강약국,사하역 2번출구,하단 방향,20미터,,,,휴진,,N,,,N,,,13시00분~14시00분,13시00분~14시00분,09시00분~19시00분,09시00분~16시00분,,,0900,1920,0900,1920,0900,1920,0900,1920,0900,1920,0900,1600
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxNzAyIzExIyQxIyQ3IyQ4OSQzNjE0ODEjODEjJDEjJDYjJDgz,세일약국,,,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxNzAyIzExIyQxIyQ3IyQ5OSQzNjE0ODEjNjEjJDEjJDgjJDgz,평화약국,부산성모병원,성모병원 동문,,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxNzAyIzExIyQxIyQzIyQ5OSQzNjEwMDIjODEjJDEjJDIjJDgz,수영약국,홍인빌딩 1층 (수영지하철역 3번출구앞),,3미터,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxNzAyIzExIyQxIyQzIyQwMyQzNjE4MzIjODEjJDEjJDIjJDgz,신제일사약국,덕천로타리 우리은행과 신한은행 사이,,,,,,휴무,8:30-13:00,N,,,N,,,,,,,,,0830,1930,0830,1930,0830,2100,0830,1900,0830,1930,0830,1630
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxNzAyIzExIyQxIyQzIyQxMyQzNjE4MzIjNjEjJDEjJDQjJDgz,건강한온누리약국,보수동 헌책방 골목,헌책방골목(1번입구) 맞은 편,10M,,,,넷째 일요일 11시~18시 개문,,N,,,N,,,,,,,,,,,,,,,,,,,,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxNzAyIzIxIyQxIyQ1IyQ4MiQ0NjEwMDIjODEjJDEjJDYjJDgz,정약국,,,,,,,휴무,휴무,N,,,N,,,,,,,,,0810,1900,0810,1900,0810,1900,0810,1900,0810,1900,0810,1700
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxNzAyIzIxIyQxIyQ1IyQ5MiQyNjEwMDIjNDEjJDEjJDgjJDgz,수민약국,부산 연제구 거제4동 해맞이로 109,거제기차역에서 거제교회방면 200미터,200미터,,,,전부휴진,,N,,,N,,,13시00분~14시00분,,,,,,0900,1900,0900,1900,0900,1900,0900,1900,0900,1900,0900,1500
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxNzAyIzIxIyQxIyQ1IyQ5OSQzNjEwMDIjNzEjJDEjJDgjJDgz,햇님약국,sk브로드밴드  옆 건물,,,50,Y,,휴무,휴무,N,,,N,,,,,,,,,,,,,,,,,,,,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxNzAyIzIxIyQxIyQ1IyQwMyQyNjE0ODEjNDEjJDEjJDQjJDgz,힐탑약국,,,,50,Y,,전부 휴진,전부 휴진,N,,,N,,,1시~2시,1시~2시,,,,,0900,2100,0900,2100,0900,2100,0900,2100,0900,2100,0900,1600
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxNzAyIzIxIyQxIyQ5IyQ5MiQzNjE0ODEjNDEjJDEjJDgjJDgz,퀸덤약국,,,,,,,전부휴진,전부휴진,N,,,N,,,,,,,,,0900,2000,0900,2000,0900,2000,0900,2000,0900,2000,0900,1400
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxNzAyIzIxIyQxIyQ5IyQ5OSQzNjE0ODEjNjEjJDEjJDQjJDgz,수정약국,거성프라자,교육청,1층 105호,10,N,건물뒤공영주차장도있음,,,N,,,N,,,13시00분~14시00분,13시00분~14시00분,,,0900,2100,0900,2030,0900,2030,0900,2030,0900,2030,0900,2030,0900,1700
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxNzAyIzIxIyQxIyQxIyQ2MiQzNjEyMjIjNTEjJDEjJDYjJDgz,신동아약국,낙동초등학교,정문에서 반도보라 아파트방향,150m,,,,,,N,,,N,,,,,,,,,,,,,,,,,,,,
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxNzAyIzIxIyQxIyQxIyQ5MiQ0NjE0ODEjNDEjJDEjJDgjJDgz,민들레약국,동삼동 국민은행,태종대 방향,50M  왼쪽 편,20,N,,오후 1시이후,오후 1시이후,N,,,N,,,13:00-14:00,13;00-14;00,9:00-20:00,9:00-16:00,0900,1300,0900,2000,0900,2000,0900,2000,0900,2000,0900,2000,0900,1600
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxNzAyIzIxIyQxIyQxIyQwMyQyNjE0ODEjNTEjJDEjJDYjJDgz,메디팜행복한약국,"중앙내과, 항앤유",출입구1층,,8,N,지하주차장 진입경사가 가파름,,,N,,,N,,,1시~2시,1시~2시,,,,,0900,1930,0900,1930,0900,1930,0900,1930,0900,1930,0900,1700
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxNzAyIzIxIyQxIyQxIyQxMyQzNjEwMDIjNDEjJDEjJDgjJDgz,네모약국,,,,,,,전부 휴진,,N,,,N,,,,,,,,,0830,2000,0830,2000,0830,2000,0830,2000,0830,2000,0830,2000
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxNzAyIzMxIyQxIyQ3IyQ3OSQ0NjE0ODEjNjEjJDEjJDgjJDgz,광안그린약국,31번 버스종점,종점에서 좌측,20m,,,,,,Y,,,N,,,,,,,,,0900,1930,0900,1930,0900,1930,0900,1930,0900,1930,0900,1600
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxNzAyIzMxIyQxIyQzIyQ2MiQzNjEyMjIjNTEjJDEjJDIjJDgz,이화약국,삼정엘리움빌딩 7층,,,,,,,"설날, 추석 당일 휴무",N,,,N,,,,,,,0900,1700,0900,2100,0900,2100,0900,2100,0900,2100,0900,2100,0900,1700
