서울ID,주소,요양기관명,전화번호,MonEnd,TuesEnd,WedEnd,ThursEnd,FriEnd,SatEnd,SunEnd,진료시간(공휴일)C,MonStart,TuesStart,WedStart,ThursStart,FriStart,SatStart,SunStart,진료시간(공휴일)S,우편번호1,우편번호2,좌표(X),좌표(Y),작업일시
C1104730,"서울특별시 강서구 화곡로 173 , 1층",21C세계로약국,02-2607-0624,2000,2000,2000,2000,2000,1700,1500,1330,0900,0900,0900,0900,0900,0900,0930,0900,077,02,126.8407508,37.54204619,2024.12.20 17:57
C1104797,서울특별시 성북구 고려대로 80 (안암동5가),21세기고려약국,02-929-9696,1800,1800,1800,1800,1800,1700,1500,1330,0830,0830,0830,0830,0830,0900,0930,0900,028,55,127.02816002221628,37.58611666842986,2024.12.20 17:57
C1102117,서울특별시 성동구 무수막길 97 (금호동2가),21세기메디칼약국,02-2252-6626,2100,2100,2100,2100,2100,2100,1500,1330,0830,0830,0830,0830,0830,0830,0930,0900,047,26,127.0198539,37.5543371,2024.12.20 17:57
C1103965,서울특별시 노원구 동일로 1548 (상계동),21세기상계약국,02-937-2288,2000,2000,2000,2000,2000,1700,1500,1330,0900,0900,0900,0900,0900,0900,0900,0900,016,74,127.0576261,37.6666666,2024.12.20 17:57
C1104798,서울특별시 영등포구 영등포로 232-1,21세기신천지약국,02-2678-3222,1900,1900,1900,1900,1900,1900,1500,1800,0900,0900,0900,0900,0900,0900,0900,0900,073,02,126.90715217610938,37.51927632914123,2024.12.20 17:57
C1103273,서울특별시 영등포구 여의대방로 177  (신길동),21세기약국,02-2678-2854,2100,2100,2100,2100,2100,2100,1500,1800,0900,0900,0900,0900,0900,0900,0900,0900,073,91,126.9211618,37.50291121,2024.12.20 17:57
C1102118,서울특별시 관악구 신림로 370 (신림동),21세기약국,02-888-2272,1900,1900,1900,1900,1900,1300,1500,1800,0900,0900,0900,0900,0900,0900,0900,0900,087,53,126.92914436408323,37.48732975333003,2024.12.20 17:57
C1102120,"서울특별시 광진구 용마산로 49, (중곡동)",21세기약국,02-2201-9469,2000,2000,2000,2000,2000,1900,1500,1800,0800,0800,0800,0800,0800,0800,0900,0900,049,23,127.0875996,37.55798603,2024.12.20 17:57
C1102123,"서울특별시 성북구 길음로 11, 근린생활시설동2층 226호 (길음동, 길음역롯데캐슬트윈골드아파트)",2층다온약국,02-915-0022,1900,1900,1900,1900,1900,1600,1500,1200,0900,0900,0900,0900,0900,0900,0900,0900,027,22,127.0234374,37.6037856,2024.12.20 17:57
C1104110,"서울특별시 중구 다산로11길 3, 약수JK빌딩 2층 (신당동)",2층바른약국,02-2233-6267,1900,1900,2000,1900,1900,1500,1500,1200,0900,0900,0930,0900,0900,0900,0900,0900,045,98,127.0100362,37.55442835,2024.12.20 17:57
C1102165,"서울특별시 양천구 월정로 50, 209호 (신월동, 청솔아파트)",2층소망약국,02-2608-8096,1800,1800,1800,1800,1800,1300,1500,1200,0900,0900,0900,0900,0900,0900,0900,0900,079,36,126.8421378,37.52426159,2024.12.20 17:57
C1109712,"서울특별시 은평구 통일로 1034, 2층 210호 (진관동, 은평 스카이뷰 자이)",2층스타약국,02-357-8889,1900,1900,1900,1900,1900,1400,1500,1200,0900,0900,0900,0900,0900,0900,0900,0900,033,06,126.9176562,37.63528107,2024.12.20 17:57
C1108226,"서울특별시 용산구 한강대로 69, 상가동 2층 222-2호 (한강로2가, 용산푸르지오써밋)",2층써밋약국,02-797-8920,1900,1900,1900,1900,1900,1400,1500,1200,0900,0900,0900,0900,0900,0900,0900,0900,043,78,126.9648922,37.52704046,2024.12.20 17:57
C1109868,"서울특별시 강남구 개포로 303, 상가동 2층 207호 (개포동, 현대1차아파트)",2층약국,02-2057-2003,1720,1720,1310,1720,1720,1400,1500,1200,0930,0930,0930,0930,0930,0900,0900,0900,063,20,127.0543931,37.48328034,2024.12.20 17:57
C1106975,"서울특별시 서초구 서초중앙로 230, 2층 208호 (반포동, 동화반포프라자상가)",2층은약국,02-535-5524,1800,1800,1800,1800,1800,1300,1500,1200,0900,0900,0900,0900,0900,0900,0900,0900,065,99,127.0120244,37.50215636,2024.12.20 17:57
C1108799,"서울특별시 동작구 현충로 75, 원불교100년기념관 (흑석동)",2층은약국,02-6484-8248,1910,2110,1935,2100,2035,1510,1500,1200,0900,0900,0900,0900,0900,0900,0900,0900,069,04,126.9638593,37.50975909,2024.12.20 17:57
C1109972,"서울특별시 영등포구 여의대방로 383, 경도빌딩 2층 215,216호 (여의도동)",2층정약국,02-780-0304,1830,1930,1830,1930,1800,1300,1500,1200,0900,0900,0900,0900,0900,0900,0900,0900,073,33,126.9315042,37.51934369,2024.12.20 17:57
C1109266,"서울특별시 은평구 통일로 856, 메트로타워 2층 2101~2103호 (불광동)",2층종로약국,02-525-5603,2000,2000,2000,2000,2000,1400,1500,1200,0900,0900,0900,0900,0900,0900,0900,0900,033,45,126.9215229,37.61962267,2024.12.20 17:57
C1110332,"서울특별시 영등포구 영중로 12, 에쉐르아이 시네마 쇼핑몰 지상 2층 (영등포동3가)",2층초록약국,02-2634-2346,2000,2000,2000,2000,2000,1400,1500,1200,0900,0900,0900,0900,0900,0900,0900,0900,073,04,126.906507,37.51761761,2024.12.20 17:57
C1104164,"서울특별시 마포구 월드컵북로 230, 201호 (중동, 현대상가)",2층하늘약국,02-303-4290,1800,1800,1800,1800,1800,1300,1500,1200,0900,0900,0900,0900,0900,0900,0900,0900,039,41,126.903832,37.57014164,2024.12.20 17:57
C1109202,"서울특별시 송파구 오금로 20, 잠실나루역 1층 002호 (신천동)",2호선아산나나약국,02-417-3222,1830,1830,1830,1830,1830,1300,1500,1200,0830,0830,0830,0830,0830,0900,0900,0900,055,04,127.1038111,37.52068673,2024.12.20 17:57
C1103221,"서울특별시 양천구 등촌로 32, 목동태영프라자 102호 (목동)",365 새누리약국,02-2648-1858,2100,2100,2100,2100,2100,2100,2100,2100,0800,0800,0800,0800,0800,0800,1200,1200,079,65,126.8641663,37.53288516,2024.12.20 17:57
C1109914,"서울특별시 강남구 강남대로 지하396, 강남역 103-104호 (역삼동)",365강남역약국,02-554-5628,2300,2300,2300,2300,2300,2300,2300,2100,0730,0730,0730,0730,0730,0900,0900,1200,062,32,127.0283079,37.49816465,2024.12.20 17:57
C1110242,"서울특별시 서초구 서초중앙로22길 25, 118호 (서초동, 서초리시온)",365고운약국,02-582-4815,2030,2030,2030,2030,2030,1530,2300,2100,1100,1100,1100,1100,1100,1000,0900,1200,066,34,127.0154302,37.49346801,2024.12.20 17:57
C1108864,"서울특별시 은평구 통일로 739, 1층 (대조동)",365구생약국,02-353-1144,2100,2100,2100,2100,2100,2100,1600,2100,0900,0900,0900,0900,0900,0900,0900,0900,033,96,126.9287343,37.6112522,2024.12.20 17:57
C1109521,"서울특별시 금천구 시흥대로62길 29, 1층 (시흥동)",365그랜드약국,02-896-1223,2130,2130,2130,2130,2130,2130,2130,2130,0930,0930,0930,0930,0930,0930,1230,1230,086,26,126.9017245,37.45588019,2024.12.20 17:57
C1103638,"서울특별시 강서구 강서로 43, B104호 (화곡동, 도양라비앙타워)",365그린약국,02-2602-8006,2100,2100,2100,2100,2100,1700,2130,2130,0900,0900,0900,0900,0900,0900,1230,1230,077,74,126.8465317,37.53152152,2024.12.20 17:57
C1109427,"서울특별시 영등포구 영중로 125, 롯데마트 1층 (영등포동8가)",365마트약국,02-2633-4865,2200,2200,2200,2200,2200,2200,2200,2200,1000,1000,1000,1000,1000,1000,1000,1000,072,28,126.9046835,37.52781676,2024.12.20 17:57
C1107949,"서울특별시 은평구 진관3로 11, 1층 (진관동, 은평뉴타운 힐데스하임)",365미소약국,02-387-1123,2100,2100,2100,2100,2100,2000,1800,1800,0900,0900,0900,0900,0900,0900,0900,0900,033,00,126.9182681,37.63946305,2024.12.20 17:57
C1102121,"서울특별시 중랑구 면목로39길 8, 한성빌딩 (면목동)",365밝은약국,02-435-0365,0830,0830,0830,0830,0830,1300,1800,1800,0800,0800,0800,0800,0800,0900,0900,0900,022,38,127.0871728,37.57976296,2024.12.20 17:57
C1110319,"서울특별시 은평구 연서로 257, 1층 (불광동)",365백화점온누리약국,02-388-8811,2000,2000,2000,2000,2000,2000,2000,2000,0900,0900,0900,0900,0900,0900,0900,0900,033,45,126.923194,37.62016049,2024.12.20 17:57
C1109655,"서울특별시 강서구 양천로 424, 가양역 데시앙플렉스 지식산업센터 131호 (등촌동)",365샘약국,02-2054-6949,2100,2100,2100,2100,2100,1900,1900,1900,0900,0900,0900,0900,0900,0900,0900,0900,075,73,126.847971,37.56422771,2024.12.20 17:57
C1109928,"서울특별시 서초구 서초대로 지하233, 서초역 지하1층 106호 (서초동)",365서초메트로약국,050-713-3435,2200,2200,2200,2200,2200,1800,1800,1900,0730,0730,0730,0730,0730,0900,0830,0900,065,90,127.0075808,37.491823,2024.12.20 17:57
C1109860,"서울특별시 송파구 오금로 95, 국제빌딩 1층 (방이동)",365송파고은약국,02-417-0503,2000,2000,2000,2000,2000,1500,1300,1900,0900,0900,0900,0900,0900,0900,0900,0900,055,48,127.1076973,37.51378724,2024.12.20 17:57
C1110278,"서울특별시 중랑구 용마산로 670, B동 219호 (망우동, 신내역 프라디움 더 테라스)",365시티약국,02-6958-8909,2100,2100,1900,2100,2100,2100,1900,1900,0900,0900,0900,0900,0900,0900,0900,0900,020,57,127.102489,37.61194415,2024.12.20 17:57
C1107010,"서울특별시 성북구 동소문로 321, 1층 (길음동)",365약국,02-985-1365,2030,2030,2030,2030,2030,2030,2030,2030,0900,0900,0900,0900,0900,0900,1030,1030,027,29,127.0294595,37.6086296,2024.12.20 17:57
C1110065,"서울특별시 중랑구 면목로 지하407, 면목역 지하1층 108호 (면목동)",365약국,02-2208-0365,2200,2200,2200,2200,2200,1800,1800,2030,1000,1000,1000,1000,1000,1000,1000,1030,021,46,127.0875678,37.5883849,2024.12.20 17:57
C1109798,"서울특별시 강남구 테헤란로 지하156, 역삼역 2호선 지하상가 127호 (역삼동)",365역삼역약국,050-71424-0368,2100,2100,2100,2100,2100,1600,1800,1800,0800,0800,0800,0800,0800,1000,1100,1000,062,36,127.0366182,37.50071627,2024.12.20 17:57
C1102838,서울특별시 관악구 남부순환로 1615 (신림동),365열린약국,02-874-2332,2200,2200,2200,2200,2200,2200,2200,2200,0900,0900,0900,0900,0900,0900,0930,0900,087,54,126.9300869,37.48455611,2024.12.20 17:57
C1109578,"서울특별시 강서구 공항대로41길 52, 버들빌딩 1층 (등촌동)",365열린약국,02-3661-3650,2500,2500,2500,2500,2500,2500,2500,2500,0830,0830,0830,0830,0830,0830,0900,0900,075,87,126.8462093,37.56004526,2024.12.20 17:57
C1108120,"서울특별시 영등포구 영중로 119, 리마크빌 영등포 2층 204-2호 (영등포동8가)",365열린약국,02-2633-2800,2300,2300,2300,2300,2300,2300,2300,2300,0900,0900,0900,0900,0900,0900,0900,0900,072,28,126.9052311,37.5267661,2024.12.20 17:57
C1110435,"서울특별시 양천구 목동중앙북로4길 6, 1층 108호 (목동)",365열린약국,02-6737-0365,2100,2100,2100,2100,2100,1800,1800,2300,0830,0830,0830,0830,0830,0830,0830,0900,079,50,126.8642844,37.54841384,2024.12.20 17:57
C1110187,"서울특별시 강남구 삼성로 14, 2층 216-2호 (개포동, 개포자이 프레지던스)",365열린약국,02-459-2005,2300,2300,2300,2300,2300,1800,1800,1800,0830,0830,0830,0830,0830,0900,0900,0900,063,31,127.068451,37.48615481,2024.12.20 17:57
C1108637,"서울특별시 구로구 남부순환로97길 3, KS프리미어빌딩 105호 (개봉동)",365열린약국,02-3666-0784,2230,2230,2230,2230,2230,2230,2200,2230,0830,0830,0830,0830,0830,0830,0900,0830,083,28,126.8582551,37.49399577,2024.12.20 17:57
C1109579,"서울특별시 마포구 백범로 199, 메트로디오빌 103A호 (신공덕동)",365열린약국,02-6010-2720,2100,2100,2100,2100,2100,1700,1700,1700,0800,0800,0800,0800,0800,0800,0800,0800,041,95,126.952771,37.54352977,2024.12.20 17:57
C1109661,"서울특별시 강북구 도봉로 242, 한국전력 강북성북지사 1층 (미아동)",365올리브약국,02-985-9989,2000,2000,2000,2000,2000,1800,1800,1800,0900,0900,0900,0900,0900,0900,0900,0900,011,32,127.0248864,37.63058484,2024.12.20 17:57
C1103342,"서울특별시 광진구 뚝섬로 606, 1층 (자양동)",365자양미소약국,02-453-7985,2200,2200,2200,2200,2200,2200,2200,2200,1000,1000,1000,1000,1000,1000,1000,1000,050,98,127.0768625,37.53266075,2024.12.20 17:57
C1108991,"서울특별시 노원구 상계로 59, 동익빌딩 1층 7,8호 (상계동)",365정화약국,02-935-4869,2200,2200,2200,2200,2200,2200,2100,2100,0900,0900,0900,0900,0900,0900,1400,1300,016,94,127.0615152,37.65616028,2024.12.20 17:57
C1107130,"서울특별시 동대문구 전농로 60-1, 1층 (답십리동)",365종로약국,02-2215-8704,2300,2300,2300,2300,2300,2300,2300,2300,0800,0800,0800,0800,0800,0800,0800,0800,026,15,127.0574088,37.57028867,2024.12.20 17:57
C1110057,"서울특별시 영등포구 디지털로37길 27, 대덕빌딩 1층 (대림동)",365중앙약국,02-000-0000,2130,2130,2130,2130,2130,2130,2130,2130,0900,0900,0900,0900,0900,0900,0900,0900,074,20,126.8979032,37.49099741,2024.12.20 17:57
C1110160,"서울특별시 노원구 한글비석로 57, 지하1층 (하계동, 세이브존)",365행복약국,02-951-3456,2100,2100,2100,2100,2100,2100,2100,2100,1000,1000,1000,1000,1000,1000,1000,1000,017,84,127.0689153,37.63662358,2024.12.20 17:57
C1110218,"서울특별시 동대문구 회기로 193, 1층 (휘경동)",365회기역약국,02-6212-1494,2300,2300,2300,2300,2300,2300,2300,2300,0800,0800,0800,0800,0800,0800,0800,0800,024,45,127.0574416,37.59018511,2024.12.20 17:57
C1110248,"서울특별시 서초구 사임당로 143, 3층 301호 (서초동)",3층건약국,02-582-2220,1900,1900,1900,1900,1900,1400,2300,2300,0900,0900,0900,0900,0900,0900,0800,0800,066,24,127.0252365,37.49185064,2024.12.20 17:57
C1107277,"서울특별시 송파구 양재대로 1222, 올림픽프라자 23-1,23호 (방이동)",3층메디칼약국,02-401-7657,1930,1930,1930,1930,1930,1700,1700,1700,0800,0800,0800,0800,0800,0800,1000,1000,056,48,127.1310632,37.51572764,2024.12.20 17:57
C1110421,"서울특별시 강남구 삼성로 14, 3층 311-1호 (개포동, 개포자이 프레지던스)",3층바른약국,02-445-3414,1930,1830,1930,1830,1930,1330,1700,1700,0830,0830,0830,0830,0830,0830,1000,1000,063,31,127.068451,37.48615481,2024.12.20 17:57
C1110294,"서울특별시 성동구 동호로 102, 두산아파트 상가동 3층 302호 (금호동3가)",3층엔약국,02-2235-0410,1830,1830,1830,1830,1830,1300,1700,1700,0900,0900,0900,0900,0900,0800,1000,1000,047,24,127.0164225,37.54887929,2024.12.20 17:57
C1104787,"서울특별시 중랑구 망우로 353 C동 309호 (상봉동, 상봉 프레미어스 엠코)",3층엠코약국,02-434-7707,2000,1900,2000,1900,1900,1500,1700,1800,0900,0900,0900,0900,0900,0900,1000,0930,020,87,127.0916241,37.59833282,2024.12.20 17:57
C1107093,"서울특별시 마포구 월드컵북로 230, 305호 (중동, 현대상가)",3층온누리약국,02-306-4743,1800,1800,1800,1800,1800,1300,1700,1800,0830,0830,0830,0830,0830,0830,1000,0930,039,41,126.903832,37.57014164,2024.12.20 17:57
C1109815,"서울특별시 강남구 논현로28길 43, 3층 (도곡동)",3층중앙약국,02-577-2501,1800,1800,1300,1800,1800,1300,1700,1800,0920,0920,0920,0920,0920,0920,1000,0930,063,01,127.04519,37.48447976,2024.12.20 17:57
C1108026,"서울특별시 용산구 한강대로 69, 3층 305-1호 (한강로2가, 용산푸르지오써밋)",3층파란문약국,02-796-9008,2000,2000,2000,2000,2000,1530,1700,1800,1000,1000,1000,1000,1000,1000,1000,0930,043,78,126.9648934,37.52704181,2024.12.20 17:57
C1103579,서울특별시 송파구 올림픽로35길 112 장미아파트 비상가 (신천동),3층하나약국,02-412-3358,1830,1830,1830,1830,1830,1500,1700,1800,0830,0830,0830,0830,0830,0900,1000,0930,055,04,127.1019173,37.51788662,2024.12.20 17:57
C1103983,"서울특별시 서초구 반포대로 291, 3층 307호 &#40;반포동&#41;",3층한사랑약국,02-592-5775,1800,1800,1800,1800,1800,1400,1700,1800,0900,0900,0900,0900,0900,0900,1000,0930,065,06,127.0008792,37.50454857673568,2024.12.20 17:57
C1108732,"서울특별시 양천구 목동동로 293, 현대41타워 1층 36호, 37호 (목동)",41약국,02-2654-7774,2000,2000,2000,2000,2000,1800,1700,1800,0930,0930,0930,0930,0930,0930,1000,0930,079,97,126.875772,37.52817831,2024.12.20 17:57
C1110022,"서울특별시 관악구 관악로 195, 4층 408호 (봉천동, 관악위버폴리스)",4층다나약국,02-878-9529,1830,1830,1830,1830,1830,1330,1700,1800,0900,0900,0900,1400,0900,0900,1000,0930,087,45,126.9530987,37.48256382,2024.12.20 17:57
C1110436,"서울특별시 관악구 신림로 350, 404호 (신림동, 서원프라자, 태영아파트)",4층드림약국,070-7761-0424,2000,2000,2000,2000,2000,1500,1330,1800,0900,0900,0900,0900,0900,0900,0930,0930,087,54,126.9299488,37.48550722,2024.12.20 17:57
C1103796,"서울특별시 동대문구 천호대로 425, 4층 401호 (장안동)",4층현약국,02-2245-3015,1830,1830,1830,1830,1830,1400,1330,1800,0900,0900,0900,0900,0900,0900,0930,0930,026,45,127.0664687,37.56181563,2024.12.20 17:57
C1109753,"서울특별시 강남구 논현로 537, 지하1층 (역삼동)",537약국,02-555-0537,2000,1900,1900,1900,2000,1600,1330,1800,1000,1000,1000,1000,1000,1000,0930,0930,061,26,127.0349625,37.50425736,2024.12.20 17:57
C1102831,"서울특별시 강동구 고덕로 133, 강동롯데캐슬퍼스트아파트 5층 513호 (암사동)",5층 하늘약국,02-427-2949,1900,1900,1900,1830,1900,1400,1330,1800,0900,0900,0900,0900,0900,0900,0930,0930,052,36,127.1403472,37.55525285,2024.12.20 17:57
C1108001,"서울특별시 중구 서소문로 103, 배재빌딩 511호 (서소문동)",5층사랑약국,02-6933-5177,1830,1830,1830,1830,1830,1400,1330,1800,0830,0830,0830,0830,0830,0900,0930,0930,045,16,126.9726687,37.56301491,2024.12.20 17:57
C1109562,"서울특별시 강남구 선릉로 324, SH타워 5층 (대치동)",5층약국,02-508-5030,1930,2020,2020,2020,2020,1600,1330,1800,0830,0830,0830,0830,0830,0830,0930,0930,062,05,127.0520942,37.49853038,2024.12.20 17:57
C1109365,"서울특별시 관악구 신림로 350, 5층 (신림동, 서원프라자, 태영아파트)",5층엔약국,02-877-3080,2000,2000,2000,2000,2000,1500,1400,1800,0830,0830,0830,0830,0830,0830,0930,0930,087,54,126.9299488,37.48550722,2024.12.20 17:57
C1110249,"서울특별시 서초구 동작대로 120, 5층 (방배동)",5층은약국,02-537-9111,2000,2000,2000,2000,2000,1900,1400,1800,0900,0900,0900,0900,0900,0900,0930,0930,065,68,126.9827083,37.48725125,2024.12.20 17:57
C1108353,"서울특별시 강북구 도봉로 339, 1층 (수유동)",7번약국,02-904-7773,2230,2230,2230,2230,2230,2100,1800,2100,0900,0900,0900,0900,0900,0900,1010,1340,010,74,127.0254891,37.6382539,2024.12.20 17:57
C1100086,"서울특별시 강남구 테헤란로78길 8, 7층 일부(대치동, 현빌딩)",7층애약국,02-567-0409,1830,1830,1830,1830,1830,2100,1800,2100,0900,0900,0900,0900,0900,0900,1010,1340,061,94,127.05521449399867,37.505626278925206,2024.12.20 17:57
C1102839,"서울특별시 강동구 명일로 117, 106호 (둔촌동)",7형제약국,02-478-9855,2100,2100,2100,2100,2100,2100,1800,2100,0830,0830,0830,0830,0830,0830,1010,1340,053,71,127.1427556,37.52961186,2024.12.20 17:57
C1108747,"서울특별시 서대문구 성산로 515, 석란 1층 (대신동)",8번가위드팜약국,02-313-4588,1830,1830,1830,1830,1830,1300,1800,2100,0900,0900,0900,0900,0900,0900,1010,1340,037,21,126.9433334,37.5630334,2024.12.20 17:57
C1108671,"서울특별시 서초구 서초중앙로 125, 로이어즈타워 8층 803호 (서초동)",8층약국,02-582-8885,2000,2000,2000,2000,2000,1600,1800,2100,0900,0900,0900,0900,0900,0900,1010,1340,066,44,127.0134188,37.49300947,2024.12.20 17:57
C1102944,"서울특별시 마포구 월드컵북로 361, 302호 (상암동, DMC이안상암2단지)",DMC온누리약국,02-483-1457,1900,1900,1900,2100,1900,1400,1800,2100,0920,0920,0920,0920,0920,0920,1010,1340,039,08,126.8914039,37.5771097,2024.12.20 17:57
C1104799,서울특별시 강남구 일원로 53 (일원동),E-삼성약국,02-3412-1254,1900,1900,1900,1900,1900,1300,1800,2100,0900,0900,0900,0900,0900,0900,1010,1340,063,43,127.0818096,37.48926264,2024.12.20 17:57
C1109493,"서울특별시 구로구 디지털로26길 38, G-Tower 2층 208호 (구로동)",G타워약국,02-6077-3924,1930,1930,1930,1930,1930,1300,1800,2100,0930,0930,0930,0930,0930,0900,1010,1340,083,93,126.8953185,37.4798477,2024.12.20 17:57
C1103262,"서울특별시 강북구 솔샘로 184, 에스케이북한산시티 112~113호 (미아동)",SK온누리약국,02-983-8895,1800,1800,1800,1800,1800,1300,1800,2100,0900,0900,0900,0900,0900,0900,1010,1340,011,92,127.01284947045569,37.619956921892836,2024.12.20 17:57
C1104800,"서울특별시 성북구 동소문로 34, 1층 (동소문동3가, 연진빌딩)",W스토어 참좋은약국,02-921-1255,2000,2000,2000,2000,2000,1700,1800,2100,0800,0800,0800,0800,0800,0800,1010,1340,028,60,127.0098764,37.58982233,2024.12.20 17:57
C1107943,"서울특별시 마포구 월드컵로3길 14, 220호 (합정동)",delight이화약국,02-332-3984,2100,2100,2100,2100,2100,2100,1800,2100,0900,0900,0900,0900,0900,0900,1010,1400,040,24,126.911649,37.55100797,2024.12.20 17:57
C1104353,"서울특별시 노원구 동일로 1059, (공릉동)",i튼튼약국,02-972-0246,2100,2100,2100,2100,2100,1600,1600,1600,0900,0900,0900,0900,0900,0900,0900,0900,018,57,127.0729871,37.62453008,2024.12.20 17:57
C1107991,"서울특별시 노원구 덕릉로 662  (중계동, 주공3단지아파트)",the사랑약국,02-933-3678,1900,1900,1900,1900,1900,1800,1600,1600,0900,0900,0900,0900,0900,0900,0900,0900,017,11,127.0766235,37.65639695,2024.12.20 17:57
C1104559,서울특별시 송파구 토성로 16 (풍납동),가가호호조은약국,02-3784-8500,1800,1800,1800,1800,1800,1800,1600,1600,0900,0900,0900,0900,0900,0900,0900,0900,055,35,127.1121297,37.53083333,2024.12.20 17:57
C1110370,"서울특별시 강서구 양천로 624, 주산빌딩 103호 (등촌동)",가고싶은 서우약국,02-3661-6288,1930,1930,1930,1930,1930,1600,1600,1600,0900,0900,0900,0900,0900,0900,0900,0900,075,53,126.8613313,37.55708683,2024.12.20 17:57
C1109293,"서울특별시 강서구 공항대로 지하267, 발산역(5호선) 515-106호 (마곡동)",가고싶은이화사랑약국,02-3663-6922,1800,1800,1800,1800,1800,1200,1600,1600,0900,0900,0900,0900,0900,0900,0900,0900,078,03,126.8373108,37.55902927,2024.12.20 17:57
C1109949,"서울특별시 성북구 고려대로17길 3, 지하1층 (안암동2가)",가까운동문약국,02-929-2111,1930,1930,1930,1930,1930,1200,1600,1600,0830,0830,0830,0830,0830,0900,0900,0900,028,43,127.0251708,37.58648423,2024.12.20 17:57
C1108593,"서울특별시 강동구 양재대로 1576, 삼익빌딩 1층 (명일동)",가까운사랑약국,02-428-4428,2000,2000,2000,2000,2000,1600,1400,1400,0830,0830,0830,0830,0830,0830,0900,0900,052,96,127.1434543,37.54616183,2024.12.20 17:57
C1108571,"서울특별시 송파구 토성로 18, 1층, 지층 (풍납동)",가까운새서울약국,02-477-8205,1830,1830,1830,1830,1830,1600,1400,1400,0830,0830,0830,0830,0830,0830,0900,0900,055,35,127.112289,37.53082426,2024.12.20 17:57
C1108766,"서울특별시 서대문구 연세로 40, 1~4층 (창천동)",가까운신촌약국,02-362-1001,1900,1900,1900,1900,1900,1400,1400,1400,0900,0900,0900,0900,0900,0900,0900,0900,037,76,126.9371728,37.55914978,2024.12.20 17:57
C1109519,"서울특별시 금천구 독산로 133, 1층 (시흥동)",가까운약국,02-802-7779,1830,1830,1830,1830,1830,1430,1400,1400,0800,0800,0800,0800,0800,0800,0900,0900,086,22,126.9048737,37.45918029,2024.12.20 17:57
