암호화요양기호,요양기관명,종별코드,종별코드명,시도코드,시도코드명,시군구코드,시군구코드명,읍면동,우편번호,주소,전화번호,개설일자,좌표(X),좌표(Y)
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkMzgxNzAyIzExIyQxIyQ3IyQxMyQzNjEyMjIjNzEjJDEjJDgjJDgz,새나루약국,81,약국,410000,세종시,410000,세종시,집현동,30141,"세종특별자치시 남세종로 73, 111호 (집현동)",,20230421,127.3256614,36.4919774
JDQ4MTg4MSM1MSMkMSMkNCMkMDMkNDgxNzAyIzUxIyQxIyQ1IyQ4MiQzNjEwMDIjNzEjJDEjJDgjJDgz,파마시아약국,81,약국,110000,서울,110021,서초구,반포동,06536,"서울특별시 서초구 강남대로85길 9, 1층 (반포동)",,20230424,127.0222723,37.5073723
JDQ4MTYyMiM1MSMkMSMkMCMkMDMkNTgxMzUxIzMxIyQxIyQzIyQxMyQzNjEwMDIjNDEjJDEjJDgjJDgz,안양왕약국,81,약국,310000,경기,310701,안양만안구,안양동,14001,"경기도 안양시 만안구 안양로 293, (안양동)",031-441-4111,20190311,126.9214334,37.3983255
JDQ4MTg4MSM1MSMkMSMkNCMkMDMkNTgxMzUxIzIxIyQxIyQ5IyQ5MiQzNjE0ODEjNDEjJDEjJDQjJDgz,상일약국,81,약국,110000,서울,110002,강동구,상일동,05274,"서울특별시 강동구 고덕로 380, 고덕아르테온(근린생활시설-2) 2동 1층 105-1호 (상일동)",02-481-9799,20240528,127.1681333,37.5564806
JDQ4MTg4MSM1MSMkMSMkNCMkMDMkNDgxNzAyIzUxIyQxIyQ1IyQ3MiQzNjEwMDIjNDEjJDEjJDQjJDgz,오늘약국,81,약국,110000,서울,110021,서초구,잠원동,06527,"서울특별시 서초구 강남대로95길 38, 1층 (잠원동)",070-8287-1493,20230413,127.0179207,37.5134940
JDQ4MTYyMiM1MSMkMSMkMCMkMDMkNTgxOTYxIzExIyQxIyQ3IyQ4MiQzNjE4MzIjNjEjJDEjJDQjJDgz,이레중앙약국,81,약국,220000,인천,220006,인천남동구,만수동,21535,"인천광역시 남동구 구월로 332, (만수동)",465-0153,19980116,126.7274383,37.4551234
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkNDgxMzUxIzIxIyQxIyQ1IyQxMyQ0NjEwMDIjNjEjJDEjJDgjJDgz,건강약국,81,약국,210000,부산,210010,부산사하구,장림동,49475,"부산광역시 사하구 장림번영로 59, 그랑프라자빌딩 103호 (장림동)",051-265-0525,20230901,128.9719889,35.0809393
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkNDgxMzUxIzMxIyQxIyQ3IyQ5OSQzNjEwMDIjNDEjJDEjJDgjJDgz,킴스약국,81,약국,210000,부산,210011,부산금정구,남산동,46227,"부산광역시 금정구 중앙대로1985번길 1, (남산동)",051-516-1859,20150625,129.0913661,35.2615078
JDQ4MTYyMiM4MSMkMSMkMCMkMDMkNDgxOTYxIzMxIyQxIyQzIyQ5OSQyNjE4MzIjODEjJDEjJDYjJDgz,새동해약국,81,약국,370000,경북,370701,포항남구,해도동,37791,"경상북도 포항시 남구 중앙로122번길 29, (해도동)",054-282-1003,20171226,129.3715131,36.0245812
JDQ4MTYyMiM4MSMkMSMkNCMkMDMkNDgxMzUxIzIxIyQxIyQ5IyQ4OSQyNjEwMDIjNzEjJDEjJDgjJDgz,통영항약국,81,약국,380000,경남,380800,통영시,도천동,53067,"경상남도 통영시 새터길 15, (도천동, 성모의원)",055-643-4520,20221024,128.4176827,34.8408406
JDU4MTI3MSM1MSMkMSMkMCMkMDMkNDgxMTkxIzIxIyQxIyQ5IyQxMyQyNjEwMDIjNTEjJDEjJDYjJDgz,행복약국,81,약국,220000,인천,220008,인천계양구,박촌동,21022,"인천광역시 계양구 장제로 1004, 107호 (박촌동, 계양한양수자인)",032-552-2050,20220421,126.7463043,37.5547854
JDQ4MTg4MSM1MSMkMSMkNCMkMDMkNTgxMzUxIzIxIyQxIyQ5IyQwMyQyNjE0ODEjNjEjJDEjJDAjJDgz,미소현약국,81,약국,110000,서울,110021,서초구,반포동,06536,"서울특별시 서초구 강남대로 521-4, 태영빌딩 1층 102호 (반포동)",02-515-3580,20100311,127.0221477,37.5085086
JDU4MTI3MSM1MSMkMSMkMCMkMDMkNDgxMTkxIzMxIyQxIyQzIyQ5OSQzNjE4MzIjODEjJDEjJDIjJDgz,호약국,81,약국,310000,경기,310303,부천원미구,심곡동,14578,"경기도 부천시 원미구 부흥로373번길 6, 1층 (심곡동)",032-675-2984,20230428,126.7833033,37.4918070
JDQ4MTYyMiM2MSMkMSMkNiMkMDMkMzgxMTkxIzIxIyQxIyQ1IyQwMyQ0NjEwMDIjNjEjJDEjJDQjJDgz,디오션약국,81,약국,350000,전북,350100,군산시,조촌동,54072,"전북특별자치도 군산시 궁포1로 24-9, 엔비빌딩 1층 (조촌동)",063-443-5255,20180920,126.7405298,35.9761414
JDQ4MTg4MSM1MSMkMSMkNCMkMDMkNDgxNzAyIzUxIyQxIyQ1IyQ4MiQyNjE4MzIjNDEjJDEjJDgjJDgz,가산소중한약국,81,약국,110000,서울,110025,금천구,가산동,08512,"서울특별시 금천구 디지털로9길 68, 대륭포스트타워 5차 1층 106호 (가산동)",02-3281-8005,20191125,126.8863307,37.4810217
JDU4MTI3MSM1MSMkMSMkMCMkMDMkNDgxMTkxIzMxIyQxIyQzIyQ4OSQzNjE4MzIjNDEjJDEjJDgjJDgz,늘봄약국,81,약국,310000,경기,311102,안산상록구,이동,15510,"경기도 안산시 상록구 도매시장로 32, (이동, 2층 일부)",031-407-4346,20170221,126.8591248,37.3096050
JDQ4MTg4MSM1MSMkMSMkNCMkMDMkNDgxNzAyIzUxIyQxIyQ1IyQ5MiQyNjEwMDIjNDEjJDEjJDgjJDgz,리본약국,81,약국,110000,서울,110001,강남구,논현동,06039,"서울특별시 강남구 도산대로 138, (논현동)",,20190423,127.0238282,37.5174754
JDQ4MTYyMiM1MSMkMSMkNCMkMDMkMzgxOTYxIzUxIyQxIyQxIyQ5OSQzNjE4MzIjNDEjJDEjJDgjJDgz,시장약국,81,약국,320000,강원,320009,정선군,정선읍,26130,"강원특별자치도 정선군 정선읍 비봉로 52-1, (정선읍)",033-562-3840,20040629,128.6640982,37.3810521
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkNDgxMzUxIzMxIyQyIyQ3IyQwMCQyNjE0ODEjODEjJDEjJDIjJDgz,기장메디칼약국,81,약국,210000,부산,210100,부산기장군,기장읍,46065,"부산광역시 기장군 기장읍 읍내로 116, 1층",051-723-2080,20180102,129.2170665,35.2449069
JDQ4MTg4MSM1MSMkMSMkNCMkMDMkNDgxNzAyIzUxIyQxIyQ1IyQwMyQzNjEwMDIjNDEjJDEjJDgjJDgz,하얀약국,81,약국,110000,서울,110004,관악구,신림동,08767,"서울특별시 관악구 난곡로 327-1, 1층 (신림동)",02-867-8271,20191111,126.9139652,37.4833043
JDQ4MTYyMiM3MSMkMSMkMCMkMDMkMzgxNzAyIzQxIyQxIyQ3IyQwMyQzNjEwMDIjNzEjJDEjJDgjJDgz,보리약국,81,약국,360000,전남,360400,순천시,장천동,57956,"전라남도 순천시 중앙5길 5, 보리약국 (장천동)",061-743-3005,20230425,127.4845414,34.9520147
JDQ4MTg4MSM1MSMkMSMkNCMkMDMkNDgxNzAyIzUxIyQxIyQ1IyQ3MiQyNjEyMjIjNjEjJDEjJDQjJDgz,마음약국,81,약국,110000,서울,110007,동대문구,청량리동,02573,"서울특별시 동대문구 왕산로 183, 1층 (청량리동)",02-964-0675,20210419,127.0435913,37.5799292
JDU4MTI3MSM1MSMkMSMkMCMkMDMkNDgxMTkxIzMxIyQyIyQzIyQwMCQyNjE0ODEjODEjJDEjJDIjJDgz,서현약국,81,약국,310000,경기,310403,성남분당구,서현동,13588,"경기도 성남시 분당구 중앙공원로39번길 49, 서현 지엔느 106호 (서현동)",031-709-3665,20230503,127.1247778,37.3837934
JDQ4MTYyMiM4MSMkMSMkMCMkMDMkNDgxOTYxIzMxIyQyIyQzIyQwMCQyNjE0ODEjNDEjJDEjJDgjJDgz,가비약국,81,약국,230000,대구,230005,대구수성구,지산동,42176,"대구광역시 수성구 동대구로 86, 1층 101호 (지산동)",053-764-3332,20230501,128.6246499,35.8378001
JDQ4MTg4MSM1MSMkMSMkNCMkMDMkNDgxNzAyIzUxIyQxIyQ1IyQ3MiQyNjE0ODEjODEjJDEjJDYjJDgz,모두온누리약국,81,약국,110000,서울,110004,관악구,봉천동,08739,"서울특별시 관악구 남부순환로 1869, 1층 (봉천동)",875-5955,20180704,126.9575645,37.4798287
JDQ4MTYyMiM1MSMkMSMkMCMkMDMkMzgxMTkxIzUxIyQxIyQ1IyQ4MiQzNjE0ODEjNTEjJDEjJDYjJDgz,이화약국,81,약국,310000,경기,312400,안성시,죽산면,17519,"경기도 안성시 죽산면 죽주로 226-1, (죽산면)",031-676-6031,20000902,127.4206077,37.0739069
JDQ4MTg4MSM1MSMkMSMkNCMkMDMkNDgxNzAyIzUxIyQxIyQxIyQ5MiQ0NjEwMDIjNDEjJDEjJDgjJDgz,새봄약국,81,약국,110000,서울,110018,송파구,풍납동,05522,"서울특별시 송파구 풍성로 55, 1층 (풍납동)",02-474-3118,20221118,127.1186881,37.5339811
JDQ4MTg4MSM1MSMkMSMkOCMkMDMkMzgxMzUxIzExIyQxIyQzIyQxMyQ0NjE0ODEjNDEjJDEjJDgjJDgz,365그랜드약국,81,약국,110000,서울,110025,금천구,시흥동,08626,"서울특별시 금천구 시흥대로62길 29, 1층 (시흥동)",02-896-1223,20220708,126.9017344,37.4558772
JDU4MTI3MSM1MSMkMSMkMCMkMDMkNDgxMTkxIzIxIyQxIyQ1IyQ3MiQ0NjE0ODEjNjEjJDEjJDQjJDgz,스마일약국,81,약국,310000,경기,312001,용인기흥구,마북동,16911,"경기도 용인시 기흥구 마북로154번길 3, 테라스가든 B빌딩 202-2호 (마북동)",,20230116,127.1240106,37.3037362
JDQ4MTYyMiM2MSMkMSMkNiMkMDMkMzgxMTkxIzIxIyQxIyQxIyQxMyQ0NjE0ODEjODEjJDEjJDIjJDgz,라온약국,81,약국,350000,전북,350100,군산시,수송동,54101,"전북특별자치도 군산시 월명로 219, 1층 (수송동)",063-462-1056,20230420,126.7151300,35.9636742
JDQ4MTYyMiM3MSMkMSMkMCMkMDMkMzgxMTkxIzUxIyQxIyQxIyQ5OSQyNjEwMDIjNDEjJDEjJDgjJDgz,아이사랑약국,81,약국,360000,전남,360200,나주시,빛가람동,58325,"전라남도 나주시 문화로 216, 101~102호 (빛가람동)",061-930-6383,20180627,126.7851801,35.0177883
JDU4MTI3MSM1MSMkMSMkMCMkMDMkNDgxMTkxIzIxIyQyIyQ5IyQwMCQyNjE4MzIjNjEjJDEjJDgjJDgz,모아약국,81,약국,310000,경기,311101,안산단원구,원곡동,15382,"경기도 안산시 단원구 원초로 30, 3층 302호 (원곡동, 보성프라자)",031-484-1276,20071031,126.8017332,37.3283895
JDU4MTI3MSM1MSMkMSMkMCMkMDMkNDgxMTkxIzIxIyQxIyQ5IyQwMyQ0NjE0ODEjNTEjJDEjJDYjJDgz,로데오약국,81,약국,310000,경기,312200,파주시,금촌동,10915,"경기도 파주시 금릉역로 84, 청원센트럴타워 101호 (금촌동)",031-943-6253,20230407,126.7659540,37.7521117
JDQ4MTYyMiM1MSMkMSMkMCMkMDMkNTgxMzUxIzIxIyQxIyQxIyQ3MiQyNjEwMDIjNDEjJDEjJDQjJDgz,보성약국,81,약국,310000,경기,311500,남양주시,와부읍,12209,"경기도 남양주시 와부읍 덕소로97번길 7, 1층",521-3646,20151014,127.2128471,37.5860408
JDU4MTI3MSM1MSMkMSMkMCMkMDMkMzgxMzUxIzUxIyQxIyQxIyQ2MiQyNjE4MzIjNjEjJDEjJDgjJDgz,법원천하약국,81,약국,310000,경기,312200,파주시,법원읍,10826,"경기도 파주시 법원읍 술이홀로 873, 102호",031-959-9002,20150302,126.8726287,37.8492818
JDU4MTI3MSM1MSMkMSMkMCMkMDMkNDgxOTYxIzUxIyQyIyQxIyQwMCQyNjE0ODEjNDEjJDEjJDgjJDgz,제일온누리약국,81,약국,310000,경기,310701,안양만안구,안양동,13985,"경기도 안양시 만안구 안양로 407, 102호 (안양동)",070-7633-3870,20230424,126.9143619,37.4069474
JDU4MTI3MSM1MSMkMSMkMCMkMDMkNDgxMTkxIzIxIyQxIyQ1IyQxMyQyNjE0ODEjODEjJDEjJDYjJDgz,유림온누리약국,81,약국,310000,경기,310702,안양동안구,관양동,13943,"경기도 안양시 동안구 흥안대로 502, 1층 (관양동)",031-421-3973,19740613,126.9774801,37.3987895
JDU4MTI3MSM1MSMkMSMkMCMkMDMkNDgxOTYxIzIxIyQxIyQ1IyQxMyQzNjE0ODEjNjEjJDEjJDgjJDgz,동신약국,81,약국,310000,경기,311901,고양덕양구,행신동,10526,"경기도 고양시 덕양구 용현로 27, 103호 (행신동, 행신프라자)",031-972-3111,20001212,126.8356424,37.6152314
JDQ4MTYyMiM4MSMkMSMkNCMkMDMkMzgxNzAyIzUxIyQxIyQxIyQ2MiQzNjE4MzIjODEjJDEjJDIjJDgz,아라큰약국,81,약국,380000,경남,380017,함안군,산인면,52072,"경상남도 함안군 산인면 학산2길 17-52, (산인면)",055-585-7335,20220722,128.4321612,35.2747071
JDQ4MTYyMiM1MSMkMSMkMCMkMDMkNDgxOTYxIzQxIyQxIyQ3IyQ2MiQyNjEwMDIjODEjJDEjJDIjJDgz,약대종로약국,81,약국,310000,경기,310302,부천오정구,삼정동,14492,"경기도 부천시 오정구 중동로 426, 창안빌딩 1층 (삼정동)",032-677-0541,20180731,126.7704527,37.5177520
JDU4MTI3MSM1MSMkMSMkMCMkMDMkNDgxMTkxIzMxIyQxIyQzIyQ3OSQzNjEyMjIjNjEjJDEjJDQjJDgz,다보온누리약국,81,약국,310000,경기,310701,안양만안구,안양동,14038,"경기도 안양시 만안구 안양천서로 177, 지하1층 (안양동, 래미안안양메가트리아)",031-446-3936,20081229,126.9336534,37.3940293
JDU4MTI3MSM1MSMkMSMkMCMkMDMkNDgxMTkxIzIxIyQxIyQ1IyQwMyQzNjE4MzIjODEjJDEjJDYjJDgz,로얄약국,81,약국,310000,경기,310303,부천원미구,중동,14534,"경기도 부천시 원미구 길주로 307, 117호 (중동, 로얄프라자)",032-328-4098,20120904,126.7767628,37.5034899
JDU4MTI3MSM1MSMkMSMkMCMkMDMkMzgxOTYxIzUxIyQxIyQxIyQ3MiQyNjE4MzIjODEjJDEjJDYjJDgz,구월대형약국,81,약국,220000,인천,220006,인천남동구,구월동,21565,"인천광역시 남동구 남동대로 780, 1,2층 1호 (구월동)",032-466-2736,20160714,126.7084598,37.4519501
JDU4MTI3MSM1MSMkMSMkMCMkMDMkMzgxMzUxIzIxIyQyIyQxIyQwMCQzNjE0ODEjODEjJDEjJDYjJDgz,동문약국,81,약국,310000,경기,311000,구리시,인창동,11918,"경기도 구리시 건원대로 47, (인창동)",,20121203,127.1395516,37.6052186
JDQ4MTAxMiM1MSMkMSMkMCMkMDMkMzgxNzAyIzUxIyQxIyQ1IyQ5OSQzNjE4MzIjNDEjJDEjJDgjJDgz,진하약국,81,약국,210000,부산,210100,부산기장군,일광읍,46040,"부산광역시 기장군 일광면 일광로 609, 609",051-728-6123,20130510,129.2587409,35.2965245
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkMzgxNzAyIzQxIyQxIyQ3IyQ3MiQ0NjEwMDIjNDEjJDEjJDgjJDgz,홍주한약국,81,약국,340000,충남,340015,홍성군,홍성읍,32221,"충청남도 홍성군 홍성읍 의사로 49, 49",041-632-2303,20020528,126.6709952,36.6019497
JDQ4MTYyMiM3MSMkMSMkMCMkMDMkMzgxNzAyIzQxIyQxIyQ3IyQ4MiQ0NjEwMDIjNjEjJDEjJDQjJDgz,365 열시약국,81,약국,240000,광주,240002,광주북구,각화동,61137,"광주광역시 북구 군왕로 297, 365 열시약국 (각화동)",,20230110,126.9358542,35.1870944
JDU4MTI3MSM1MSMkMSMkMCMkMDMkMzgxNzAyIzIxIyQxIyQ1IyQ4OSQzNjE0ODEjNzEjJDEjJDgjJDgz,서평택약국,81,약국,310000,경기,311200,평택시,포승읍,17951,"경기도 평택시 포승읍 포승향남로 148, 148",031-684-9964,20120625,126.8664320,36.9876686
JDQ4MTYyMiM1MSMkMSMkOCMkMDMkMzgxOTYxIzUxIyQxIyQxIyQwMyQyNjE0ODEjNDEjJDEjJDgjJDgz,이수약국,81,약국,330000,충북,330004,영동군,영동읍,29149,"충청북도 영동군 영동읍 난계로 1202, (영동읍)",043-743-3054,20230421,127.7738630,36.1720214
JDQ4MTYyMiM1MSMkMSMkNCMkMDMkMzgxOTYxIzMxIyQyIyQzIyQwMCQ0NjE0ODEjNzEjJDEjJDgjJDgz,봄한약국,81,약국,320000,강원,320013,홍천군,홍천읍,25135,"강원특별자치도 홍천군 홍천읍 꽃뫼로 54-3, (홍천읍)",033-435-0020,20020828,127.8796672,37.6905719
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkMzgxNzAyIzMxIyQxIyQ3IyQ5MiQzNjEwMDIjNjEjJDEjJDgjJDgz,행복한약국,81,약국,340000,충남,340900,당진시,읍내동,31774,"충청남도 당진시 시청1로 75, (읍내동)",041-357-5270,20161026,126.6392505,36.8908257
JDU4MTI3MSM1MSMkMSMkMCMkMDMkMzgxNzAyIzExIyQxIyQzIyQ4OSQzNjE0ODEjODEjJDEjJDIjJDgz,자연치유약국,81,약국,310000,경기,311000,구리시,수택동,11940,"경기도 구리시 체육관로74번길 80, 107호 (수택동, 럭키아파트상가)",031-566-1595,20150327,127.1426736,37.5912614
JDQ4MTg4MSM1MSMkMSMkNCMkMDMkNDgxOTYxIzIxIyQxIyQ1IyQ3OSQ0NjEwMDIjNzEjJDEjJDgjJDgz,새서울약국,81,약국,110000,서울,110005,구로구,구로동,08302,"서울특별시 구로구 가마산로 268, 대림역와이즈플레이스 108호 (구로동)",02-862-0268,20190311,126.8902483,37.4957168
JDQ4MTYyMiM1MSMkMSMkNCMkMDMkMzgxOTYxIzUxIyQxIyQxIyQ4MiQzNjE0ODEjNjEjJDEjJDQjJDgz,땅콩약국,81,약국,320000,강원,320400,원주시,단계동,26436,"강원특별자치도 원주시 북원로 2235-4, 116호 (단계동)",033-733-8007,20240531,127.9322485,37.3456541
